Date of Rally,City,State,Venue,Estimated Visitors,Source
"Saturday, December 19, 2015",Cedar Rapids,IA,Veterans Memorial Coliseum,"1,200",[51]
"Monday, December 21, 2015",Grand Rapids,MI,DeltaPlex Arena,"7,000",[52]
"Monday, December 28, 2015",Nashua,NH,Pennichuck Middle School,"1,000",[53]
"Tuesday, December 29, 2015",Council Bluffs,IA,Mid-America Center,,[54]
"Wednesday, December 30, 2015",Hilton Head,SC,The Westin Hilton Head Island Resort & Spa,"2,500",[55]
"Saturday, January 2, 2016",Biloxi,MS,Mississippi Coast Coliseum,"15,000",[56]
"Monday, January 4, 2016",Lowell,MA,Tsongas Center,,[57]
"Tuesday, January 5, 2016",Claremont,NH,Stevens High School,"1,200",[58]
"Thursday, January 7, 2016",Burlington,VT,Flynn Center for the Performing Arts,"1,400",[59]
"Friday, January 8, 2016",Rock Hill,SC,Winthrop Coliseum,"6,500",[60]
"Saturday, January 9, 2016",Clear Lake,IA,Surf Ballroom,"1,700",[61]
"Saturday, January 9, 2016",Ottumwa,IA,Bridgeview Center,,[62]
"Sunday, January 10, 2016",Reno,NV,Reno Events Center,"4,000",[63]
"Monday, January 11, 2016",Windham,NH,Castleton Banquet and Conference Center,600,[64]
"Tuesday, January 12, 2016",Cedar Falls,IA,"West Gymnasium, University of Northern Iowa","2,000",[65]
"Wednesday, January 13, 2016",Pensacola,FL,Pensacola Bay Center,"10,000",[66]
"Friday, January 15, 2016",Urbandale,IA,Living History Farms Visitor Center,100,[67]
"Monday, January 18, 2016",Concord,NH,Concord High School,700,[68]
"Monday, January 18, 2016",Lynchburg,VA,"Vines Center, Liberty University","10,000",[69]
"Tuesday, January 19, 2016",Ames,IA,"Hansen Agriculture Student Learning Center, Iowa State University","2,000",[70]
"Wednesday, January 20, 2016",Norwalk,IA,The Wright Place,300,[71]
"Wednesday, January 20, 2016",Tulsa,OK,"Mabee Center, Oral Roberts University","9,000",[72]
"Thursday, January 21, 2016",Las Vegas,NV,"South Point Hotel, Casino & Spa","3,000",[73]
"Saturday, January 23, 2016",Pella,IA,"Douwstra Auditorium, Central College",400,[74]
"Saturday, January 23, 2016",Sioux Center,IA,"B. J. Haan Auditorium, Dordt College","2,600",[75]
"Sunday, January 24, 2016",Muscatine,IA,Muscatine High School,"1,000",[76]
"Monday, January 25, 2016",Farmington,NH,Farmington Senior High School,"1,000",[77]
"Tuesday, January 26, 2016",Iowa City,IA,"Iowa Field House, University of Iowa","2,000",[78]
"Tuesday, January 26, 2016",Marshalltown,IA,"Roundhouse Gymnasium, Marshalltown High School","2,100",[79]
"Wednesday, January 27, 2016",Gilbert,SC,The Barn at Harmon's,400,[80]
"Thursday, January 28, 2016",Des Moines,IA,"Sheslow Auditorium, Drake University",700,[81][82][83]
"Friday, January 29, 2016",Nashua,NH,Radisson Hotel Nashua,850,[84]
"Saturday, January 30, 2016",Clinton,IA,Clinton Middle School,"1,000",[85]
"Saturday, January 30, 2016",Davenport,IA,Adler Theatre,"2,400",[86]
"Saturday, January 30, 2016",Dubuque,IA,Dubuque Regional Airport,"1,200",[87]
"Sunday, January 31, 2016",Council Bluffs,IA,Gerald W. Kirn Middle School,"2,000",[88]
"Monday, February 1, 2016",Cedar Rapids,IA,DoubleTree Hotel Cedar Rapids Convention Complex,"1,500",[89]
"Monday, February 1, 2016",Waterloo,IA,Ramada Waterloo Hotel and Convention Center,300,[89]
"Tuesday, February 2, 2016",Milford,NH,Hampshire Hills Athletic Club,,[90]
"Wednesday, February 3, 2016",Little Rock,AR,Barton Coliseum,"11,500",[91]
"Thursday, February 4, 2016",Exeter,NH,Exeter Town Hall,,[92]
"Thursday, February 4, 2016",Portsmouth,NH,Great Bay Community College,500,[93]
"Friday, February 5, 2016",Florence,SC,Florence Civic Center,,[94]
"Sunday, February 7, 2016",Holderness,NH,"ALLWell North, Plymouth State University","2,500",[95]
"Monday, February 8, 2016",Londonderry,NH,Londonderry Lions Club,200,[96]
"Monday, February 8, 2016",Manchester,NH,Verizon Wireless Arena,"5,000",[97]
"Monday, February 8, 2016",Salem,NH,Derry-Salem Elks Lodge,200,[98]
"Wednesday, February 10, 2016",Pendleton,SC,"T. Ed Garrison Arena, Clemson University","5,000",[99]
"Thursday, February 11, 2016",Baton Rouge,LA,Baton Rouge River Center,"10,000",[100]
"Friday, February 12, 2016",Tampa,FL,"USF Sun Dome, University of South Florida","10,000",[101]
"Monday, February 15, 2016",Greenville,SC,TD Convention Center,,[102]
"Tuesday, February 16, 2016",Beaufort,SC,Beaufort High School Performing Arts Center,"20,000",[103]
"Tuesday, February 16, 2016",North Augusta,SC,Riverview Park Activities Center,"2,000",[104]
"Wednesday, February 17, 2016",Sumter,SC,Sumter County Civic Center,"4,000",[105]
"Wednesday, February 17, 2016",Walterboro,SC,Randy and Sara White's farm,"4,000",[106]
"Thursday, February 18, 2016",Gaffney,SC,Broad River Electric Cooperative,,[107][108]
"Thursday, February 18, 2016",Kiawah,SC,"Turtle Point Clubhouse, Kiawah Island Golf Resort",,[109][110]
"Friday, February 19, 2016",North Charleston,SC,North Charleston Convention Center,"2,000",[111]
"Friday, February 19, 2016",Myrtle Beach,SC,Myrtle Beach Sports Center,"12,000",[112]
"Friday, February 19, 2016",Pawleys Island,SC,Pawley's Plantation Golf & Country Club,"1,000",[113]
"Sunday, February 21, 2016",Atlanta,GA,Georgia World Congress Center,,[114][115]
"Monday, February 22, 2016",Las Vegas,NV,"South Point Hotel, Casino & Spa",,[116][117]
"Tuesday, February 23, 2016",Sparks,NV,Rose Ballroom,"3,000",[118]
"Friday, February 26, 2016",Fort Worth,TX,Fort Worth Convention Center,"8,000",[119]
"Friday, February 26, 2016",Oklahoma City,OK,Cox Convention Center,"7,000",[120]
"Saturday, February 27, 2016",Highfill,AR,Northwest Arkansas Regional Airport,"5,000",[121]
"Saturday, February 27, 2016",Millington,TN,Millington Regional Jetport,"10,000",[122]
"Sunday, February 28, 2016",Madison,AL,Madison City Schools Stadium,,[123][124]
"Monday, February 29, 2016",Radford,VA,"Dedmon Center, Radford University","3,800",[125][126]
"Monday, February 29, 2016",Valdosta,GA,"The Complex, Valdosta State University","7,500",[127]
"Tuesday, March 1, 2016",Columbus,OH,Port Columbus International Airport,"4,000",[35]
"Tuesday, March 1, 2016",Louisville,KY,Kentucky International Convention Center,"5,000",[128]
"Thursday, March 3, 2016",Portland,ME,The Westin Portland Harborview Hotel,"1,100",[129]
"Friday, March 4, 2016",Warren,MI,"Sports & Expo Center, Macomb Community College","4,000",[130]
"Friday, March 4, 2016",Cadillac,MI,Wexford County Civic Center,"3,500",[131]
"Friday, March 4, 2016",New Orleans,LA,Lakefront Airport,"4,000",[132][133]
"Saturday, March 5, 2016",Orlando,FL,"CFE Arena, University of Central Florida","10,000",[134][135][136][137][138][139][140]
"Saturday, March 5, 2016",Wichita,KS,Century II Performing Arts & Convention Center,,[141]
"Monday, March 7, 2016",Concord,NC,Cabarrus Arena & Events Center,"3,000",[142]
"Monday, March 7, 2016",Madison,MS,Madison Central High School,"9,000",[143]
"Wednesday, March 9, 2016",Fayetteville,NC,Crown Coliseum,"11,000",[144]
"Friday, March 11, 2016",St. Louis,MO,Peabody Opera House,"3,100",[145]
"Saturday, March 12, 2016",Cleveland,OH,I-X Center,"29,000",[146]
"Saturday, March 12, 2016",Dayton,OH,Dayton International Airport,"20,000",[146]
"Saturday, March 12, 2016",Kansas City,MO,Midland Theatre,"7,000",[147]
"Sunday, March 13, 2016",Bloomington,IL,"Synergy Flight Center, Central Illinois Regional Airport","3,000",[148]
"Sunday, March 13, 2016",Boca Raton,FL,"Sunset Cove Amphitheater, Sugar Sand Park","6,000",[149]
"Monday, March 14, 2016",Tampa,FL,Tampa Convention Center,"1,500",[150]
"Monday, March 14, 2016",Vienna,OH,"Winner Aviation, Youngstown–Warren Regional Airport","2,500",[151]
"Friday, March 18, 2016",Salt Lake City,UT,Infinity Event Center,"1,200",[152]
"Saturday, March 19, 2016",Fountain Hills,AZ,Fountain Park,"10,000",[153]
"Saturday, March 19, 2016",Tucson,AZ,Tucson Convention Center,"5,000",[154]
"Tuesday, March 29, 2016",Janesville,WI,Janesville Conference Center,"1,000",[155]
"Wednesday, March 30, 2016",Appleton,WI,Radisson Paper Valley Hotel,"1,000",[156]
"Wednesday, March 30, 2016",De Pere,WI,"Byron L. Walter Theatre, St. Norbert College",750,[157]
"Saturday, April 2, 2016",Eau Claire,WI,Memorial High School,"1,500",[158]
"Saturday, April 2, 2016",Racine,WI,Memorial Hall,"1,200",[159]
"Saturday, April 2, 2016",Rothschild,WI,Central Wisconsin Convention & Expo Center,"1,700",[160]
"Sunday, April 3, 2016",West Allis,WI,Nathan Hale High School,"1,000",[161]
"Monday, April 4, 2016",La Crosse,WI,La Crosse Center,"1,700",[162]
"Monday, April 4, 2016",Milwaukee,WI,Milwaukee Theatre,,[163][164]
"Monday, April 4, 2016",Superior,WI,Richard I. Bong Airport,"1,000",[165]
"Wednesday, April 6, 2016",Bethpage,NY,Grumman Studios,"10,000",[166]
"Sunday, April 10, 2016",Rochester,NY,"JetSmart Aviation Services, Greater Rochester International Airport","9,000",[167]
"Monday, April 11, 2016",Albany,NY,Times Union Center,"10,000",[168]
"Tuesday, April 12, 2016",Rome,NY,Griffiss International Airport,"5,000",[169]
"Wednesday, April 13, 2016",Pittsburgh,PA,David L. Lawrence Convention Center,"4,500",[170]
"Friday, April 15, 2016",Hartford,CT,Connecticut Convention Center,"7,000",[171]
"Friday, April 15, 2016",Plattsburgh,NY,Crete Civic Center,"3,000",[172]
"Saturday, April 16, 2016",Syracuse,NY,"Nicholas J. Pirro Convention Center, Oncenter","5,000",[173]
"Saturday, April 16, 2016",Watertown,NY,Watertown International Airport,"2,000",[174]
"Sunday, April 17, 2016",Poughkeepsie,NY,Mid-Hudson Civic Center,,[175]
"Monday, April 18, 2016",Buffalo,NY,First Niagara Center,"11,400",[176]
"Wednesday, April 20, 2016",Indianapolis,IN,"Elements Financial Blue Ribbon Pavilion, Indiana State Fairgrounds","4,000",[177]
"Wednesday, April 20, 2016",Berlin,MD,Stephen Decatur High School,"3,000",[178]
"Thursday, April 21, 2016",Harrisburg,PA,Pennsylvania Farm Show Complex & Expo Center,"6,000",[179]
"Friday, April 22, 2016",Harrington,DE,"Quillen Arena, Delaware State Fairgrounds","8,200",[180]
"Saturday, April 23, 2016",Bridgeport,CT,Klein Memorial Auditorium,"1,400",[181]
"Saturday, April 23, 2016",Waterbury,CT,Crosby High School,"3,000",[182]
"Sunday, April 24, 2016",Hagerstown,MD,"Rider Jet Center, Hagerstown Regional Airport","5,000",[183]
"Monday, April 25, 2016",Warwick,RI,Crowne Plaza Hotel Providence-Warwick,"1,000",[184]
"Monday, April 25, 2016",West Chester,PA,West Chester University,"3,500",[185]
"Monday, April 25, 2016",Wilkes-Barre,PA,Mohegan Sun Arena at Casey Plaza,"10,000",[186]
"Wednesday, April 27, 2016",Indianapolis,IN,Indiana Farmers Coliseum,"5,000",[187]
"Thursday, April 28, 2016",Costa Mesa,CA,"Pacific Amphitheatre, OC Fair & Event Center",,[188][189]
"Thursday, April 28, 2016",Evansville,IN,Old National Events Plaza,"12,000",[190]
"Sunday, May 1, 2016",Fort Wayne,IN,Allen County War Memorial Coliseum,"8,000",[191]
"Sunday, May 1, 2016",Terre Haute,IN,Indiana Theatre,"2,100",[192]
"Monday, May 2, 2016",Carmel,IN,The Palladium at the Center for the Performing Arts,"1,800",[193]
"Monday, May 2, 2016",South Bend,IN,Century Center,"8,000",[194]
"Thursday, May 5, 2016",Charleston,WV,Charleston Civic Center,,[195][196]
"Friday, May 6, 2016",Eugene,OR,Lane Events Center,"5,000",[197]
"Friday, May 6, 2016",Omaha,NE,"Werner Enterprises Hangar, Eppley Airfield","3,500",[198]
"Saturday, May 7, 2016",Lynden,WA,Northwest Washington Fair and Event Center,"7,500",[199]
"Saturday, May 7, 2016",Spokane,WA,Spokane Convention Center,"10,000",[200]
"Tuesday, May 24, 2016",Albuquerque,NM,Albuquerque Convention Center,"8,000",[201]
"Wednesday, May 25, 2016",Anaheim,CA,Anaheim Convention Center,"3,000",[202]
"Thursday, May 26, 2016",Billings,MT,Rimrock Auto Arena at MetraPark,"7,000",[203]
"Friday, May 27, 2016",Fresno,CA,Selland Arena,"7,000",[204]
"Friday, May 27, 2016",San Diego,CA,San Diego Convention Center,,[205][206]
"Wednesday, June 1, 2016",Sacramento,CA,"Sacramento Jet Center, Sacramento International Airport","5,000",[207]
"Thursday, June 2, 2016",San Jose,CA,"South Hall, San Jose Convention Center",,[208][209]
"Friday, June 3, 2016",Redding,CA,Redding Municipal Airport,"4,000",[210]
